Name,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity,FIPS,ISO2,ISO3,UN,name_2,AREA,POP2005,REGION,SUBREGION,LON,LAT
Aedes aegypti,53.000000000000000,18.000000000000000,27.000000000000000,21.500000000000000,33.250000000000000,38.500000000000000,0.000000000000000,8.455369949340820,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,39.000000000000000,15.000000000000000,44.000000000000000,24.750000000000000,30.250000000000000,33.750000000000000,0.000000000000000,51.893943786621094,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,43.000000000000000,16.000000000000000,39.000000000000000,24.250000000000000,32.000000000000000,38.000000000000000,0.000000000000000,32.117019653320312,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,43.000000000000000,15.000000000000000,41.000000000000000,21.750000000000000,29.000000000000000,33.250000000000000,0.000000000000000,50.526622772216797,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,50.000000000000000,15.000000000000000,30.000000000000000,21.500000000000000,31.750000000000000,37.750000000000000,0.000000000000000,24.612236022949219,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,52.000000000000000,16.000000000000000,29.000000000000000,21.250000000000000,31.250000000000000,37.250000000000000,0.000000000000000,30.374053955078125,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,31.000000000000000,24.000000000000000,38.000000000000000,25.500000000000000,29.750000000000000,34.500000000000000,0.000000000000000,9.717936515808105,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,62.000000000000000,11.000000000000000,25.000000000000000,22.000000000000000,27.500000000000000,32.750000000000000,0.000000000000000,25.187259674072266,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,51.000000000000000,20.000000000000000,26.000000000000000,20.750000000000000,27.500000000000000,33.500000000000000,0.000000000000000,15.189178466796875,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,29.000000000000000,23.000000000000000,39.000000000000000,26.250000000000000,30.750000000000000,35.250000000000000,0.000000000000000,21.173490524291992,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,47.000000000000000,17.000000000000000,31.000000000000000,21.000000000000000,27.500000000000000,33.000000000000000,0.000000000000000,26.210872650146484,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,49.000000000000000,16.000000000000000,31.000000000000000,24.000000000000000,29.250000000000000,34.250000000000000,0.000000000000000,41.247859954833984,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,42.000000000000000,21.000000000000000,35.000000000000000,23.250000000000000,28.500000000000000,33.000000000000000,0.000000000000000,36.044773101806641,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
Aedes aegypti,39.000000000000000,24.000000000000000,33.000000000000000,22.500000000000000,28.250000000000000,33.250000000000000,0.000000000000000,28.109527587890625,MX,MX,MEX,484,Mexico,190869,104266392,19,13,-102.535,23.951
